respondent_id,wave_date,weight
1,2023-11-01,1.29
2,2023-10-01,0.89
3,2023-08-01,0.91
4,2023-09-01,1.42
5,2023-05-01,0.79
6,2023-10-01,0.64
7,2023-11-01,1.29
8,2023-06-01,1.37
9,2023-08-01,1.0
10,2023-10-01,1.38
11,2023-06-01,0.72
12,2023-05-01,1.4
13,2023-05-01,1.34
14,2023-09-01,0.92
15,2023-10-01,1.45
16,2023-09-01,1.45
17,2023-06-01,0.55
18,2023-05-01,0.86
19,2023-08-01,1.3
20,2023-09-01,0.59
21,2023-08-01,0.71
22,2023-06-01,0.69
23,2023-08-01,1.18
24,2023-10-01,0.89
25,2023-07-01,0.86
26,2023-08-01,0.9
27,2023-08-01,0.65
28,2023-09-01,0.82
29,2023-06-01,0.96
30,2023-09-01,1.49
31,2023-08-01,1.18
32,2023-07-01,1.04
33,2023-08-01,0.89
34,2023-07-01,0.79
35,2023-09-01,1.42
36,2023-07-01,1.24
37,2023-10-01,1.4
38,2023-07-01,1.05
39,2023-07-01,1.27
40,2023-05-01,1.35
41,2023-10-01,1.11
42,2023-05-01,0.65
43,2023-10-01,0.53
44,2023-07-01,1.43
45,2023-10-01,1.04
46,2023-09-01,1.42
47,2023-06-01,0.74
48,2023-10-01,0.62
49,2023-10-01,1.18
50,2023-09-01,1.5
51,2023-08-01,1.15
52,2023-06-01,1.21
53,2023-06-01,1.22
54,2023-07-01,1.26
55,2023-06-01,0.64
56,2023-10-01,0.71
57,2023-07-01,0.54
58,2023-08-01,1.27
59,2023-07-01,1.48
60,2023-06-01,1.28
61,2023-09-01,0.62
62,2023-09-01,0.63
63,2023-07-01,1.28
64,2023-08-01,1.42
65,2023-10-01,0.7
66,2023-10-01,1.03
67,2023-06-01,0.51
68,2023-06-01,0.93
69,2023-10-01,0.64
70,2023-10-01,1.48
71,2023-11-01,0.6
72,2023-05-01,0.92
73,2023-08-01,0.6
74,2023-09-01,0.71
75,2023-11-01,0.97
76,2023-07-01,0.91
77,2023-10-01,1.16
78,2023-09-01,0.98
79,2023-05-01,1.42
80,2023-08-01,1.5
81,2023-07-01,0.88
82,2023-10-01,0.56
83,2023-08-01,1.26
84,2023-10-01,1.15
85,2023-07-01,1.11
86,2023-10-01,1.13
87,2023-05-01,0.87
88,2023-06-01,0.54
89,2023-05-01,0.7
90,2023-08-01,0.96
91,2023-08-01,0.63
92,2023-07-01,1.05
93,2023-08-01,0.51
94,2023-10-01,1.35
95,2023-10-01,1.18
96,2023-07-01,1.25
97,2023-09-01,0.82
98,2023-10-01,0.93
99,2023-06-01,1.06
100,2023-06-01,1.43
